#measurement data v1.0
#sensorId:4
#failures:0000011000000000000000000000000010000000000100000000000000000000
#functionalisation:0;2;2;2;2;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;2;2;2;2;2
#baseLevel:2.12.2019 - 18:10:16;1453.666667;1304.733333;1582.233333;1402.8;1417.666667;1700.933333;83438.23333;2122.566667;3575.6;2851.133333;2423.8;347.9;1655.366667;1859.066667;1717.766667;2952.466667;2917.766667;2013.166667;1970.333333;2035.766667;2349.8;1976.566667;2955.8;2696.3;3174.133333;6153.133333;5605.166667;4155.466667;4338.966667;3557.166667;4312.933333;2540.333333;347.9;1857.633333;2067.566667;1918.366667;2154.133333;2668.2;3732.2;2633.666667;3259.1;3106;2659.166667;347.9;1768.3;1404.733333;1476.233333;1675.6;1974.733333;1692.9;1769.366667;1885.466667;2338.5;1452.966667;2510.666667;2781.166667;882.8333333;3864.333333;1396.9;1148.266667;1157.233333;1127.1;1118.4;2009.133333
#baseLevel:2.12.2019 - 18:12:13;1441.866667;1296.9;1567.9;1391.466667;1402.3;1685.9;80991.06667;2075.666667;3518.6;2805.633333;2401.8;347.9;1645.533333;1846.466667;1705.333333;2933.933333;2907.766667;2000.333333;1960.666667;2017.033333;2344.7;1961.833333;2918.333333;2649.4;3123.033333;6036.533333;5506.3;4087.266667;4333.866667;3502;4266.633333;2509.533333;347.9;1835.433333;2040.5;1902.166667;2130.433333;2632.433333;3666.033333;2597.066667;3205.633333;3053.733333;2639.7;347.9;1756.6;1394.966667;1466.8;1668.233333;1971.4;1686.866667;1761.833333;1867.666667;2312.333333;1442.766667;2493.233333;2730.066667;870.1666667;3832.066667;1384.533333;1135.066667;1149.666667;1116.266667;1110.433333;1988.566667
#classes:Wodka[Alk];Wasser[W];Traubensaft[Tr];Apfelsaft[Apf]
#header:timestamp;ch1;ch2;ch3;ch4;ch5;ch6;ch7;ch8;ch9;ch10;ch11;ch12;ch13;ch14;ch15;ch16;ch17;ch18;ch19;ch20;ch21;ch22;ch23;ch24;ch25;ch26;ch27;ch28;ch29;ch30;ch31;ch32;ch33;ch34;ch35;ch36;ch37;ch38;ch39;ch40;ch41;ch42;ch43;ch44;ch45;ch46;ch47;ch48;ch49;ch50;ch51;ch52;ch53;ch54;ch55;ch56;ch57;ch58;ch59;ch60;ch61;ch62;ch63;ch64;user defined class;detected class
2.12.2019 - 18:10:56;1446.5;1298.4;1575.5;1396.3;1409.9;1689.5;83399.3;2099.9;3551.9;2840.1;2414.8;347.9;1648.6;1854.5;1711.7;2947.9;2915;2006.5;1962.8;2027.1;2346.3;1966.2;2938.3;2679.1;3149.4;6110.9;5549.9;4128.3;4334.4;3536;4294.3;2521.7;347.9;1848.6;2056.7;1910.7;2137;2648;3686.1;2609.7;3233.7;3084.2;2648.4;347.9;1761.5;1398.7;1470.6;1672.6;1971.8;1689.4;1767.3;1875.7;2327.7;1448;2508;2753.5;877.4;3857;1392.4;1141.9;1152.6;1120.4;1115.8;2002.8;;
2.12.2019 - 18:10:58;1446.8;1297.1;1576.6;1395.1;1407.5;1690.8;83218.3;2100.5;3551;2838.7;2412.8;347.9;1648.3;1852.6;1710.6;2944.2;2915.7;2008;1963.2;2025.9;2347.4;1967.2;2936.5;2680.6;3152.7;6109.5;5567.7;4128.5;4334.5;3534.2;4295.1;2516.8;347.9;1849.1;2056.1;1910.6;2140.2;2645.3;3689.7;2604.9;3236.7;3088.8;2650.7;347.9;1764.1;1399.5;1472.1;1672.2;1970;1687.4;1766.9;1876.1;2326.1;1448.1;2507.4;2749.3;877.6;3856.1;1390.8;1141.3;1152.6;1120.2;1116.2;2004.1;;
2.12.2019 - 18:11:00;1446.1;1297.4;1575;1396.1;1408.5;1687.9;81278.4;2099.3;3548.8;2833.5;2409.8;347.9;1648.6;1852.1;1709.9;2946.8;2915.7;2007.7;1962.4;2025;2345.8;1963.7;2931.4;2679.3;3153.5;6098.7;5543.5;4122.1;4334.2;3531.2;4288.1;2521.3;347.9;1847.1;2056.3;1910.7;2137.5;2646.4;3678.5;2603.1;3234.8;3084.1;2648.9;347.9;1760.5;1399.5;1470.7;1672.3;1973.9;1687.6;1767.9;1871.3;2327.1;1448.4;2508.1;2754;877.4;3855.2;1391.7;1142.7;1152.3;1120;1116.1;2003.9;;
2.12.2019 - 18:11:02;1447;1298.2;1573.8;1395.8;1408.2;1688.4;83077.6;2098.3;3559;2833.8;2408.5;347.9;1648.2;1851.7;1711.4;2946.6;2914.8;2007.4;1962;2026.4;2345.6;1964.9;2927.7;2678.9;3151.2;6086.9;5545.4;4122.1;4333.9;3537.2;4287.4;2520.9;347.9;1846.8;2054.5;1910.8;2137.5;2647.9;3688.9;2602;3231.6;3080.6;2648.6;347.9;1761.4;1399.5;1470.9;1670.9;1970.9;1687.2;1766.7;1874.1;2326.9;1447.2;2509;2750.3;877.4;3853.8;1391.2;1142.1;1152.8;1118.9;1116;2000.6;;
2.12.2019 - 18:11:04;1446.3;1297.3;1575.1;1395.2;1407.9;1687.7;82279.1;2099.9;3553.4;2834.4;2411.1;347.9;1648.1;1851.4;1710.5;2944.8;2914.9;2007.1;1962.4;2025.2;2345.8;1965.5;2931.2;2675;3153;6098.6;5540.5;4123.6;4335.1;3531;4289;2517.2;347.9;1845.1;2054.7;1908.3;2136.7;2650;3680.3;2601.6;3233.7;3088.6;2644.8;347.9;1761.9;1401.9;1470.2;1671.1;1971;1687.4;1767;1873;2325.6;1445.7;2508.6;2746.6;877.3;3855.7;1391.4;1142;1152.6;1119.7;1115.9;1999.9;;
2.12.2019 - 18:11:05;1445.2;1297.3;1574.3;1394.7;1407.1;1687.5;80331.6;2096.7;3551.1;2831.1;2413.2;347.9;1649;1850.7;1710.6;2942.7;2913.6;2006.8;1962.2;2028.7;2345.7;1965.4;2933.8;2676;3145.4;6099.7;5535.3;4110.5;4334;3527.9;4285.6;2516.1;347.9;1843.2;2052.8;1909.4;2136.6;2640.8;3691.3;2601.5;3230.5;3079.4;2644.4;347.9;1762;1399.2;1470.3;1670.8;1970.9;1686.9;1765.5;1872.5;2323.7;1445.2;2505.3;2743.2;877;3854.1;1389.9;1142.1;1152.4;1118.7;1114.7;2001.2;;
2.12.2019 - 18:11:07;1446.2;1296.9;1574.3;1394.9;1408;1687;82244;2097.6;3549.8;2829.7;2410.9;347.9;1648;1853.7;1711.7;2941.1;2912;2007.1;1962.2;2027.4;2345.6;1966.2;2934.6;2675.4;3149.9;6098.8;5560;4120.8;4334.2;3531.8;4281.4;2515;347.9;1845.1;2054.2;1908.9;2138.3;2646.9;3680.4;2601.8;3226.9;3078.6;2643.5;347.9;1762.9;1399.6;1470.7;1670;1971.5;1687.1;1767.7;1875.4;2327;1446.6;2507.7;2747.2;877.1;3859.4;1391.1;1142.2;1152.4;1119.8;1115.5;2003.5;;
2.12.2019 - 18:11:09;1447.3;1297.3;1574.7;1395.2;1410.1;1687.3;81288.7;2095.1;3548.2;2829;2411.3;347.9;1647.7;1851.3;1712.4;2942.2;2912.8;2005.4;1962.2;2027.7;2345.6;1965.5;2932.6;2673.8;3149.7;6080.4;5550.7;4114.4;4334.3;3530.4;4283.5;2512.3;347.9;1848.1;2052.5;1908.6;2135.9;2643.4;3677.2;2601.4;3225.6;3075.3;2647.6;347.9;1761.9;1398.8;1469.5;1670.1;1969.6;1687.2;1767.9;1875.2;2325.6;1445.9;2508;2749.5;877;3857.6;1389.5;1142.4;1152.2;1119.9;1114.9;2001;;
2.12.2019 - 18:11:11;1447.4;1297.3;1571.6;1395.6;1408.7;1687;79820;2096.6;3542.1;2823.7;2408.4;347.9;1647.7;1851.9;1711.6;2939.4;2913;2007.3;1961.9;2025.7;2345.8;1967.2;2929.7;2673.2;3148.1;6089.3;5557.9;4113.4;4334.7;3536;4288.6;2515.2;347.9;1847.7;2053.1;1909.4;2138.4;2647.4;3685.8;2602.4;3228.6;3082.6;2645.6;347.9;1761;1397.6;1469.6;1670.2;1968.2;1687.4;1767.5;1875.2;2325;1447;2506.3;2743.2;877;3856.7;1389.9;1143.4;1152.2;1119.7;1114.6;1999.5;;
2.12.2019 - 18:11:13;1447;1297.4;1573.9;1396.6;1408.9;1687.6;82420.8;2095.6;3549.9;2825.2;2412.1;347.9;1648.1;1852.4;1711.7;2941.4;2913;2007.7;1962.2;2025;2346;1966.3;2931.7;2678.6;3148.4;6090.7;5549.5;4110.4;4334.3;3531.5;4284.8;2516.3;347.9;1846.2;2052.1;1909.4;2135.8;2644.4;3671.4;2601;3230.4;3080.2;2647.7;347.9;1760.7;1398.4;1470.6;1670.2;1970.5;1687.9;1766.8;1872.6;2322.3;1448;2507.7;2744.8;876.5;3858.9;1390.6;1141.6;1152.3;1119.9;1114.8;1997.6;;
2.12.2019 - 18:11:15;1446;1297.4;1573.3;1396;1409.8;1688;82427.7;2095.4;3545.7;2824.7;2409.7;347.9;1648.4;1848.2;1711.2;2943.1;2912.1;2006.8;1962.1;2023.5;2345.6;1965.4;2930.4;2676;3149.9;6097.8;5549.4;4117.5;4334.3;3531;4285;2518.2;347.9;1847.8;2051.3;1908.8;2136;2649.6;3676.4;2600.9;3228.8;3080.7;2646.1;347.9;1763.5;1398.5;1470.5;1669.9;1968.9;1688.9;1767.3;1873.2;2325.3;1447.5;2507.7;2742.7;876.5;3859.1;1390.7;1140.9;1152.4;1119.7;1114.7;1998.7;;
